time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-07T17:06:12.578Z,64.0769,-22.3783,10,4.3,mb,,225,0.813,1.12,us,us7000djwb,2021-05-21T19:52:07.040Z,"10 km N of Vogar, Iceland",earthquake,9.8,2,0.168,10,reviewed,us,us
2021-03-07T02:54:33.710Z,64.0719,-22.2551,10,4.3,mb,,133,0.789,1.04,us,us7000djs6,2021-05-21T19:51:36.040Z,"11 km NNE of Vogar, Iceland",earthquake,7.5,1.9,0.147,13,reviewed,us,us
2021-03-07T02:50:46.184Z,64.058,-22.4919,10,4.4,mb,,125,0.857,1.21,us,us7000dgqb,2021-05-21T19:47:54.040Z,"7 km NNE of Reykjanesbær, Iceland",earthquake,6,1.9,0.095,32,reviewed,us,us
2021-03-07T02:45:36.269Z,64.0088,-22.2186,10,4.4,mb,,136,0.836,0.96,us,us7000dgq9,2021-05-21T19:47:53.040Z,"8 km ENE of Vogar, Iceland",earthquake,6.4,1.9,0.102,28,reviewed,us,us
2021-03-07T02:40:44.394Z,64.003,-22.2567,10,4.1,mb,,149,0.849,0.91,us,us7000djtl,2021-05-21T19:51:49.040Z,"6 km ENE of Vogar, Iceland",earthquake,3.8,2,0.175,9,reviewed,us,us
2021-03-07T02:33:39.592Z,64.1104,-22.0899,10,4,mb,,142,0.72,1.11,us,us7000dgqe,2021-05-21T19:47:54.040Z,"3 km WNW of Álftanes, Iceland",earthquake,4.2,1.9,0.157,11,reviewed,us,us
2021-03-07T02:01:28.903Z,64.0185,-22.1748,10,5.3,mww,,67,0.819,1.15,us,us7000dgpz,2021-05-21T19:47:51.040Z,"11 km ENE of Vogar, Iceland",earthquake,5.3,1.9,0.059,28,reviewed,us,us
2021-03-05T11:59:06.242Z,64.0619,-22.5357,10,4.2,mb,,137,0.865,0.33,us,us7000dig9,2021-05-21T19:50:06.040Z,"5 km E of Garður, Iceland",earthquake,5.2,2,0.187,8,reviewed,us,us
2021-03-04T08:54:09.688Z,63.9917,-22.0179,10,4.7,mb,,52,0.816,0.56,us,us7000dfe3,2021-05-13T22:43:19.040Z,"9 km SSW of Hafnarfjörður, Iceland",earthquake,5.9,1.9,0.054,102,reviewed,us,us
2021-03-04T05:36:20.748Z,64.0978,-21.9821,10,4.1,mb,,105,0.711,0.5,us,us7000dhpf,2021-05-13T22:43:06.040Z,"1 km E of Álftanes, Iceland",earthquake,6.6,1.9,0.099,28,reviewed,us,us
2021-03-02T05:36:13.781Z,64.1038,-22.2281,10,4.4,mb,,73,0.755,0.83,us,us7000dg1u,2021-05-13T22:40:18.040Z,"10 km W of Álftanes, Iceland",earthquake,6.2,1.9,0.161,11,reviewed,us,us
2021-03-02T03:05:34.667Z,64.0258,-22.2328,10,4.7,mb,,92,0.824,0.57,us,us7000deru,2021-05-13T22:40:11.040Z,"8 km ENE of Vogar, Iceland",earthquake,5.8,1.9,0.051,118,reviewed,us,us
2021-03-01T16:35:48.645Z,64.0671,-22.1133,10,4.9,mb,,65,0.763,0.57,us,us7000del6,2021-05-13T22:39:38.040Z,"5 km SW of Álftanes, Iceland",earthquake,6,1.9,0.042,178,reviewed,us,us
2021-03-01T14:12:40.317Z,64.1281,-21.7709,10,4.4,mb,,165,0.651,0.55,us,us7000dg0e,2021-05-13T22:39:26.040Z,"5 km SW of Mosfellsbær, Iceland",earthquake,5.4,1.8,0.161,11,reviewed,us,us
